12:37:23.118: Clue SIZE: HERD
12:37:23.119: Clue VICTIM: ZEBRAS
12:37:23.119: Clue CRIME: FAILED PRANK
12:37:23.120: Clue TIME: APRIL 1
12:37:23.120: Clue PLACE: QUANT REALM
12:37:23.121: Clue MOTIVE: WANT TO PLAY
12:37:23.138: Clue WEAPON: FEATHER
12:37:23.144: Clue BANDIT: GIGGLING GAL
12:37:23.539: Message received: teamsix,password,1,HERD
12:37:23.540: Team total: 6 pts
12:37:23.542: Awarded: 6 pts
12:37:24.040: Message received: teamsix,password,1,HERD
12:37:24.041: Awarded: 6 pts
12:37:24.551: Message received: teamsix,password,1,HERD
12:37:24.553: Awarded: 6 pts
12:37:25.089: Message received: teamsix,password,1,HERD
12:37:25.090: Awarded: 6 pts
12:37:25.544: Message received: teamsix,password,1,HERD
12:37:25.545: Awarded: 6 pts
12:37:26.012: Message received: teamsix,password,1,HERD
12:37:26.013: Awarded: 6 pts
12:37:26.547: Message received: teamsix,password,1,HERD
12:37:26.548: Awarded: 6 pts
12:37:26.988: Message received: teamsix,password,1,HERD
12:37:26.989: Awarded: 6 pts
12:37:27.489: Message received: teamsix,password,1,HERD
12:37:27.491: Awarded: 6 pts
12:37:27.993: Message received: teamsix,password,1,HERD
12:37:27.994: Awarded: 6 pts
12:37:28.450: Message received: teamsix,password,1,HERD
12:37:28.451: Awarded: 6 pts
12:37:28.951: Message received: teamsix,password,1,HERD
12:37:28.952: Awarded: 6 pts
12:37:29.372: Message received: teamsix,password,1,HERD
12:37:29.373: Awarded: 6 pts
12:37:29.909: Message received: teamsix,password,1,HERD
12:37:29.911: Awarded: 6 pts
12:37:30.404: Message received: teamsix,password,1,HERD
12:37:30.405: Awarded: 6 pts
12:37:30.915: Message received: teamsix,password,1,HERD
12:37:30.916: Awarded: 6 pts
12:37:31.367: Message received: teamsix,password,1,HERD
12:37:31.368: Awarded: 6 pts
12:37:31.856: Message received: teamsix,password,1,HERD
12:37:31.857: Awarded: 6 pts
12:37:32.357: Message received: teamsix,password,1,HERD
12:37:32.358: Awarded: 6 pts
12:37:32.891: Message received: teamsix,password,1,HERD
12:37:32.892: Awarded: 6 pts
12:37:33.348: Message received: teamsix,password,1,HERD
12:37:33.350: Awarded: 6 pts
12:37:33.923: Message received: teamsix,password,1,HERD
12:37:33.924: Awarded: 6 pts
12:37:34.412: Message received: teamsix,password,1,HERD
12:37:34.421: Awarded: 6 pts
12:37:35.036: Message received: teamsix,password,1,HERD
12:37:35.037: Awarded: 6 pts
12:37:35.579: Message received: teamsix,password,1,HERD
12:37:35.580: Awarded: 6 pts
12:37:36.055: Message received: teamsix,password,1,HERD
12:37:36.056: Awarded: 6 pts
12:37:36.600: Message received: teamsix,password,1,HERD
12:37:36.601: Awarded: 6 pts
12:37:37.119: Message received: teamsix,password,1,HERD
12:37:37.120: Awarded: 6 pts
12:37:37.789: Message received: teamsix,password,1,HERD
12:37:37.793: Awarded: 6 pts
12:37:38.310: Message received: teamsix,password,1,HERD
12:37:38.312: Awarded: 6 pts
12:37:38.814: Message received: teamsix,password,1,HERD
12:37:38.815: Awarded: 6 pts
12:37:39.304: Message received: teamsix,password,1,HERD
12:37:39.305: Awarded: 6 pts
