12:51:26.215: Clue SIZE: A MOLE OF
12:51:26.216: Clue VICTIM: QUARKS
12:51:26.216: Clue CRIME: CHARMED
12:51:26.218: Clue TIME: LAST SECOND
12:51:26.218: Clue PLACE: BLACK HOLE
12:51:26.219: Clue MOTIVE: GRAVITY FALL
12:51:26.219: Clue WEAPON: HIGGS BOSON
12:51:26.219: Clue BANDIT: THE ELECTRON
12:51:28.926: Message received: teamsix,password,1,AMDLEOF
12:51:28.927: Awarded: 0 pts
12:51:29.087: Message received: teamsix,password,1,AMDLEOF
12:51:29.088: Awarded: 0 pts
12:51:29.225: Message received: teamsix,password,1,AMDLEOF
12:51:29.226: Awarded: 0 pts
12:51:29.371: Message received: teamsix,password,1,AMDLEOF
12:51:29.372: Awarded: 0 pts
12:51:29.515: Message received: teamsix,password,1,AMDLEOF
12:51:29.516: Awarded: 0 pts
12:51:29.661: Message received: teamsix,password,1,AMDLEOF
12:51:29.662: Awarded: 0 pts
12:51:29.805: Message received: teamsix,password,1,AMDLEOF
12:51:29.806: Awarded: 0 pts
12:51:29.998: Message received: teamsix,password,1,AMDLEOF
12:51:29.999: Awarded: 0 pts
12:51:30.152: Message received: teamsix,password,1,AMDLEOF
12:51:30.153: Awarded: 0 pts
12:51:30.278: Message received: teamsix,password,1,AMDLEOF
12:51:30.279: Awarded: 0 pts
12:51:30.411: Message received: teamsix,password,1,AMDLEOF
12:51:30.412: Awarded: 0 pts
12:51:30.552: Message received: teamsix,password,1,AMDLEOF
12:51:30.552: Awarded: 0 pts
12:51:30.694: Message received: teamsix,password,1,AMDLEOF
12:51:30.695: Awarded: 0 pts
12:51:30.827: Message received: teamsix,password,1,AMDLEOF
12:51:30.828: Awarded: 0 pts
12:51:30.968: Message received: teamsix,password,1,AMDLEOF
12:51:30.969: Awarded: 0 pts
12:51:31.107: Message received: teamsix,password,1,AMDLEOF
12:51:31.109: Awarded: 0 pts
12:51:31.237: Message received: teamsix,password,1,AMDLEOF
12:51:31.237: Awarded: 0 pts
12:51:31.378: Message received: teamsix,password,1,AMDLEOF
12:51:31.379: Awarded: 0 pts
12:51:31.511: Message received: teamsix,password,1,AMDLEOF
12:51:31.512: Awarded: 0 pts
12:51:31.645: Message received: teamsix,password,1,AMDLEOF
12:51:31.646: Awarded: 0 pts
12:51:31.786: Message received: teamsix,password,1,AMDLEOF
12:51:31.788: Awarded: 0 pts
12:51:31.914: Message received: teamsix,password,1,AMDLEOF
12:51:31.915: Awarded: 0 pts
12:51:32.057: Message received: teamsix,password,1,AMDLEOF
12:51:32.058: Awarded: 0 pts
12:51:32.194: Message received: teamsix,password,1,AMDLEOF
12:51:32.195: Awarded: 0 pts
12:51:32.331: Message received: teamsix,password,1,AMDLEOF
12:51:32.332: Awarded: 0 pts
12:51:32.463: Message received: teamsix,password,1,AMDLEOF
12:51:32.465: Awarded: 0 pts
12:51:32.596: Message received: teamsix,password,1,AMDLEOF
12:51:32.597: Awarded: 0 pts
12:51:32.733: Message received: teamsix,password,1,AMDLEOF
12:51:32.734: Awarded: 0 pts
12:51:32.875: Message received: teamsix,password,1,AMDLEOF
12:51:32.876: Awarded: 0 pts
12:51:33.006: Message received: teamsix,password,1,AMDLEOF
12:51:33.007: Awarded: 0 pts
12:51:33.156: Message received: teamsix,password,1,AMDLEOF
12:51:33.157: Awarded: 0 pts
12:51:33.278: Message received: teamsix,password,1,AMDLEOF
12:51:33.281: Awarded: 0 pts
12:51:33.426: Message received: teamsix,password,1,AMDLEOF
12:51:33.427: Awarded: 0 pts
12:51:33.572: Message received: teamsix,password,1,AMDLEOF
12:51:33.574: Awarded: 0 pts
12:51:33.708: Message received: teamsix,password,1,AMDLEOF
12:51:33.709: Awarded: 0 pts
12:51:33.837: Message received: teamsix,password,1,AMDLEOF
12:51:33.838: Awarded: 0 pts
12:51:33.978: Message received: teamsix,password,1,AMDLEOF
12:51:33.979: Awarded: 0 pts
12:51:34.131: Message received: teamsix,password,1,AMDLEOF
12:51:34.132: Awarded: 0 pts
12:51:34.275: Message received: teamsix,password,1,AMDLEOF
12:51:34.276: Awarded: 0 pts
12:51:34.413: Message received: teamsix,password,1,AMDLEOF
12:51:34.414: Awarded: 0 pts
12:51:34.552: Message received: teamsix,password,1,AMDLEOF
12:51:34.553: Awarded: 0 pts
12:51:34.676: Message received: teamsix,password,1,AMDLEOF
12:51:34.677: Awarded: 0 pts
12:51:34.812: Message received: teamsix,password,1,AMDLEOF
12:51:34.813: Awarded: 0 pts
12:51:34.949: Message received: teamsix,password,1,AMDLEOF
12:51:34.952: Awarded: 0 pts
12:51:35.092: Message received: teamsix,password,1,AMDLEOF
12:51:35.093: Awarded: 0 pts
12:51:35.230: Message received: teamsix,password,1,AMDLEOF
12:51:35.232: Awarded: 0 pts
12:51:35.373: Message received: teamsix,password,1,AMDLEOF
12:51:35.374: Awarded: 0 pts
12:51:35.518: Message received: teamsix,password,1,AMDLEDF
12:51:35.521: Awarded: 0 pts
12:51:35.668: Message received: teamsix,password,1,AMDLEOF
12:51:35.669: Awarded: 0 pts
12:51:35.816: Message received: teamsix,password,1,AMDLEOF
12:51:35.816: Awarded: 0 pts
12:51:35.961: Message received: teamsix,password,1,AMDLEOF
12:51:35.962: Awarded: 0 pts
12:51:36.086: Message received: teamsix,password,1,AMDLEOF
12:51:36.089: Awarded: 0 pts
12:51:36.221: Message received: teamsix,password,1,AMDLEOF
12:51:36.222: Awarded: 0 pts
12:51:36.351: Message received: teamsix,password,1,AMDLEOF
12:51:36.351: Awarded: 0 pts
12:51:36.496: Message received: teamsix,password,1,AMDLEOF
12:51:36.497: Awarded: 0 pts
12:51:36.639: Message received: teamsix,password,1,AMDLEOF
12:51:36.640: Awarded: 0 pts
12:51:36.774: Message received: teamsix,password,1,AMDLEOF
12:51:36.774: Awarded: 0 pts
12:51:36.914: Message received: teamsix,password,1,AMDLEDF
12:51:36.915: Awarded: 0 pts
12:51:37.061: Message received: teamsix,password,1,AMDLEOF
12:51:37.065: Awarded: 0 pts
12:51:37.179: Message received: teamsix,password,1,AMDLEOF
12:51:37.180: Awarded: 0 pts
12:51:37.316: Message received: teamsix,password,1,AMDLEOF
12:51:37.317: Awarded: 0 pts
12:51:37.454: Message received: teamsix,password,1,AMDLEOF
12:51:37.456: Awarded: 0 pts
12:51:37.588: Message received: teamsix,password,1,AMDLEOF
12:51:37.589: Awarded: 0 pts
12:51:37.746: Message received: teamsix,password,1,AMDLEOF
12:51:37.747: Awarded: 0 pts
12:51:37.880: Message received: teamsix,password,1,AMDLEOF
12:51:37.882: Awarded: 0 pts
12:51:38.013: Message received: teamsix,password,1,AMDLEOF
12:51:38.014: Awarded: 0 pts
12:51:38.147: Message received: teamsix,password,1,AMDLEOF
12:51:38.148: Awarded: 0 pts
12:51:38.278: Message received: teamsix,password,1,AMDLEOF
12:51:38.279: Awarded: 0 pts
12:51:38.411: Message received: teamsix,password,1,AMDLEOF
12:51:38.412: Awarded: 0 pts
12:51:38.543: Message received: teamsix,password,1,AMDLEOF
12:51:38.544: Awarded: 0 pts
12:51:38.677: Message received: teamsix,password,1,AMDLEOF
12:51:38.678: Awarded: 0 pts
12:51:38.815: Message received: teamsix,password,1,AMDLEOF
12:51:38.815: Awarded: 0 pts
12:51:38.961: Message received: teamsix,password,1,AMDLEOF
12:51:38.962: Awarded: 0 pts
12:51:39.092: Message received: teamsix,password,1,AMDLEOF
12:51:39.093: Awarded: 0 pts
12:51:39.227: Message received: teamsix,password,1,AMDLEOF
12:51:39.228: Awarded: 0 pts
12:51:39.346: Message received: teamsix,password,1,AMDLEOF
12:51:39.347: Awarded: 0 pts
12:51:39.482: Message received: teamsix,password,1,AMDLEOF
12:51:39.483: Awarded: 0 pts
12:51:39.608: Message received: teamsix,password,1,AMDLEOF
12:51:39.610: Awarded: 0 pts
12:51:39.746: Message received: teamsix,password,1,AMDLEOF
12:51:39.747: Awarded: 0 pts
12:51:39.871: Message received: teamsix,password,1,AMDLEOF
12:51:39.873: Awarded: 0 pts
12:51:40.006: Message received: teamsix,password,1,AMDLEOF
12:51:40.007: Awarded: 0 pts
12:51:40.136: Message received: teamsix,password,1,AMDLEOF
12:51:40.140: Awarded: 0 pts
12:51:40.268: Message received: teamsix,password,1,AMDLEOF
12:51:40.269: Awarded: 0 pts
12:51:40.401: Message received: teamsix,password,1,AMDLEOF
12:51:40.402: Awarded: 0 pts
12:51:40.538: Message received: teamsix,password,1,AMDLEOF
12:51:40.539: Awarded: 0 pts
12:51:40.686: Message received: teamsix,password,1,AMDLEOF
12:51:40.686: Awarded: 0 pts
12:51:40.820: Message received: teamsix,password,1,AMDLEOF
12:51:40.821: Awarded: 0 pts
12:51:40.965: Message received: teamsix,password,1,AMDLEOF
12:51:40.966: Awarded: 0 pts
12:51:41.107: Message received: teamsix,password,1,AMDLEOF
12:51:41.108: Awarded: 0 pts
12:51:41.249: Message received: teamsix,password,1,AMDLEOF
12:51:41.249: Awarded: 0 pts
12:51:41.379: Message received: teamsix,password,1,AMDLEOF
12:51:41.380: Awarded: 0 pts
12:51:41.517: Message received: teamsix,password,1,AMDLEOF
12:51:41.518: Awarded: 0 pts
12:51:41.651: Message received: teamsix,password,1,AMDLEOF
12:51:41.652: Awarded: 0 pts
12:51:41.781: Message received: teamsix,password,1,AMDLEOF
12:51:41.782: Awarded: 0 pts
12:51:41.911: Message received: teamsix,password,1,AMDLEOF
12:51:41.914: Awarded: 0 pts
12:51:42.041: Message received: teamsix,password,1,AMDLEOF
12:51:42.042: Awarded: 0 pts
12:51:42.186: Message received: teamsix,password,1,AMDLEOF
12:51:42.187: Awarded: 0 pts
12:51:42.315: Message received: teamsix,password,1,AMDLEOF
12:51:42.316: Awarded: 0 pts
12:51:42.446: Message received: teamsix,password,1,AMDLEOF
12:51:42.447: Awarded: 0 pts
12:51:42.572: Message received: teamsix,password,1,AMDLEOF
12:51:42.573: Awarded: 0 pts
12:51:42.693: Message received: teamsix,password,1,AMDLEOF
12:51:42.696: Awarded: 0 pts
12:51:42.829: Message received: teamsix,password,1,AMDLEOF
12:51:42.830: Awarded: 0 pts
12:51:42.946: Message received: teamsix,password,1,AMDLEOF
12:51:42.947: Awarded: 0 pts
12:51:43.075: Message received: teamsix,password,1,AMDLEOF
12:51:43.076: Awarded: 0 pts
12:51:43.213: Message received: teamsix,password,1,AMDLEOF
12:51:43.215: Awarded: 0 pts
12:51:43.343: Message received: teamsix,password,1,AMDLEOF
12:51:43.344: Awarded: 0 pts
12:51:43.473: Message received: teamsix,password,1,AMDLEOF
12:51:43.474: Awarded: 0 pts
12:51:43.608: Message received: teamsix,password,1,AMDLEOF
12:51:43.610: Awarded: 0 pts
12:51:43.743: Message received: teamsix,password,1,AMDLEOF
12:51:43.744: Awarded: 0 pts
12:51:43.873: Message received: teamsix,password,1,AMDLEOF
12:51:43.874: Awarded: 0 pts
12:51:44.020: Message received: teamsix,password,1,AMDLEOF
12:51:44.021: Awarded: 0 pts
12:51:44.161: Message received: teamsix,password,1,AMDLEOF
12:51:44.162: Awarded: 0 pts
12:51:44.300: Message received: teamsix,password,1,AMDLEOF
12:51:44.301: Awarded: 0 pts
12:51:44.428: Message received: teamsix,password,1,AMDLEOF
12:51:44.429: Awarded: 0 pts
12:51:44.559: Message received: teamsix,password,1,AMDLEOF
12:51:44.560: Awarded: 0 pts
12:51:44.699: Message received: teamsix,password,1,AMDLEOF
